age,gender,weight,height,bmi,goal,health_condition,activity_level,experience_level,dietary_preference,sleep_hours,workout_type_preference,equipment_available_count,time_available,has_allergy,has_digestive_issue,smoking,cigarettes_per_day,alcohol,alcohol_units_per_week,micronutrient_score,protein_intake_g,steps_per_day,water_intake_liters,workout_plan_level,nutrition_plan_level,predicted_workout_plan_encoded,predicted_workout_plan,predicted_nutrition_plan_encoded,predicted_nutrition_plan
62,female,88.8,1.61,34.26,fat loss,none,moderate,beginner,non-veg,7.8,strength,2,17,0,0,0,0,1,17.7,0.18,82.5,4043,3.54,None,High,3,None,0,High
34,male,103.3,1.78,32.6,muscle gain,asthma,high,intermediate,pescatarian,9.4,cardio,2,109,0,0,0,0,1,3.9,0.57,44.8,17975,2.33,High,High,0,High,0,High
26,female,137.2,1.62,52.28,fat loss,hypertension,high,advanced,pescatarian,7.8,functional,3,52,0,0,0,0,1,13.9,0.3,169,8834,2.34,High,High,0,High,0,High
39,female,96.4,1.74,31.84,muscle gain,asthma,high,advanced,non-veg,7.7,strength,0,25,0,1,0,0,1,17.5,0.18,104.5,12199,3.46,High,High,0,High,0,High
71,female,109.4,1.94,29.07,fat loss,hypertension,moderate,intermediate,vegan,4.6,strength,1,28,0,0,0,0,0,0,0.09,65.4,1511,3.57,None,High,3,None,0,High
23,male,129.9,1.98,33.13,muscle gain,hypertension,high,beginner,vegan,5.9,strength,1,101,0,1,0,0,1,2.8,0.32,94.3,11487,1.86,High,High,0,High,0,High
70,male,62.5,2,15.62,muscle gain,injury,low,intermediate,veg,5.4,hiit,6,67,0,0,1,13.5,1,8.1,0.39,69.8,9258,1.49,None,High,3,None,0,High
37,female,101.8,1.81,31.07,fat loss,heart disease,low,beginner,vegan,8.8,functional,5,67,0,0,0,0,0,0,0.31,44.2,17978,1.61,None,High,3,None,0,High
42,female,67.9,1.5,30.18,muscle gain,diabetes,moderate,beginner,pescatarian,7.8,cardio,6,64,0,0,0,0,1,3.2,0.72,54.3,15112,3.29,None,High,3,None,0,High
22,female,81.1,1.67,29.08,muscle gain,asthma,low,intermediate,veg,5.3,strength,5,21,1,0,1,5.1,0,0,0.33,68.3,8395,2.06,None,High,3,None,0,High
65,female,134.7,1.54,56.8,muscle gain,injury,high,beginner,pescatarian,8.1,hiit,1,87,0,1,0,0,1,13.9,0.25,55,9295,1.64,High,High,0,High,0,High
67,female,114.2,1.98,29.13,fat loss,none,moderate,beginner,pescatarian,5.8,balance,6,63,0,0,0,0,0,0,0.24,66.3,1781,2.17,None,High,3,None,0,High
